#epoch, step, actionA, actionB, reward_n, game_dif_score, playerA_score, playerB_score, epsilon
0,1786,9,30,0,-3,12,15,1.0
1,3572,15,23,0,4,13,9,1.0
2,5358,12,26,0,-12,8,20,0.99919675
3,7144,11,22,0,-10,6,16,0.99839305
4,8930,2,24,0,8,17,9,0.99758935
5,10716,14,32,0,3,12,9,0.99678565
6,12502,17,28,0,12,19,7,0.99598195
7,14288,1,18,0,17,28,11,0.99517825
8,16074,0,19,0,9,16,7,0.994374549999
9,17860,12,30,0,-4,12,16,0.993570849999
10,19646,7,33,0,-1,2,3,0.992767149999
11,21432,2,30,0,1,5,4,0.991963449999
12,23218,13,29,0,3,13,10,0.991159749999
13,25004,14,26,0,0,2,2,0.990356049999
14,26790,5,27,0,-1,7,8,0.989552349999
15,28576,2,28,0,0,11,11,0.988748649999
16,30362,17,31,0,0,8,8,0.987944949999
17,32148,15,19,0,-9,7,16,0.987141249999
18,33934,9,23,0,-1,11,12,0.986337549999
19,35720,15,23,0,1,10,9,0.985533849999
20,37506,6,33,0,0,8,8,0.984730149999
21,39292,1,33,0,2,12,10,0.983926449999
22,41078,2,28,0,-2,7,9,0.983122749998
23,42864,8,28,0,-1,10,11,0.982319049998
24,44650,5,30,0,-4,11,15,0.981515349998
25,46436,10,19,0,4,12,8,0.980711649998
26,48222,12,34,0,4,18,14,0.979907949998
27,50008,3,25,0,5,22,17,0.979104249998
28,51794,11,25,0,1,6,5,0.978300549998
29,53580,6,18,0,10,25,15,0.977496849998
30,55366,12,28,0,-2,14,16,0.976693149998
31,57152,14,21,0,-3,3,6,0.975889449998
32,58938,8,22,0,-8,12,20,0.975085749998
33,60724,2,29,0,1,3,2,0.974282049998
34,62510,0,26,0,6,22,16,0.973478349998
35,64296,6,22,0,0,20,20,0.972674649998
36,66082,15,19,0,-5,5,10,0.971870949997
37,67868,6,21,0,6,8,2,0.971067249997
38,69654,11,19,0,3,16,13,0.970263549997
39,71440,14,25,0,6,10,4,0.969459849997
